ykgC	gproNOG.ENOG410QMIW.meta_raw
group_795	gproNOG.ENOG410QKHK.meta_raw
srlD	gproNOG.ENOG410RA5K.meta_raw
citA	gproNOG.ENOG410QMNB.meta_raw
proQ	gproNOG.ENOG410QI65.meta_raw
yheT	gproNOG.ENOG410QKDR.meta_raw
yqaA	gproNOG.ENOG410QQ5K.meta_raw
ybiH	gproNOG.ENOG410QM03.meta_raw
hsdM	gproNOG.ENOG410QHYN.meta_raw
ninG	gproNOG.ENOG410QTAZ.meta_raw
group_719	gproNOG.ENOG410QR7M.meta_raw
gltA	gproNOG.ENOG410QJ1A.meta_raw
group_4550	gproNOG.ENOG410QUIG.meta_raw
yaiV	gproNOG.ENOG410QPHQ.meta_raw
spy	gproNOG.ENOG410QQ9Q.meta_raw
pntB	gproNOG.ENOG410QK69.meta_raw
yigC	gproNOG.ENOG410QIFC.meta_raw
ygjR	gproNOG.ENOG410QNK5.meta_raw
rfaC	gproNOG.ENOG410QJHE.meta_raw
group_3318	gproNOG.ENOG410QT10.meta_raw
group_2649	gproNOG.ENOG410QRDB.meta_raw
deoD	gproNOG.ENOG410QJI8.meta_raw
rplL	gproNOG.ENOG410QTKX.meta_raw
yjeO	gproNOG.ENOG410R7JB.meta_raw
ssaK	gproNOG.ENOG410QVTX.meta_raw
yjjX	gproNOG.ENOG410QM29.meta_raw
lysP	gproNOG.ENOG410RATC.meta_raw
yhbS	gproNOG.ENOG410QPHR.meta_raw
group_90	gproNOG.ENOG410QKZT.meta_raw
ybfE	gproNOG.ENOG410QUUV.meta_raw
ppnK	gproNOG.ENOG410QJK0.meta_raw
STY0737	gproNOG.ENOG410QXCV.meta_raw
int	gproNOG.ENOG410QJPT.meta_raw
yohI	gproNOG.ENOG410QJ9N.meta_raw
ydhO	gproNOG.ENOG410QN7S.meta_raw
torT	gproNOG.ENOG410QKWB.meta_raw
group_3005	gproNOG.ENOG410QTE3.meta_raw
ilvY	gproNOG.ENOG410QKWA.meta_raw
group_2855	gproNOG.ENOG410R23A.meta_raw
emrR	gproNOG.ENOG410QMHH.meta_raw
fadH	gproNOG.ENOG410QIP5.meta_raw
STY1861	gproNOG.ENOG410QQDA.meta_raw
STY3433	gproNOG.ENOG410QNXK.meta_raw
group_1787	gproNOG.ENOG410R0QE.meta_raw
yhhQ	gproNOG.ENOG410QIV2.meta_raw
group_4222	gproNOG.ENOG410QYM8.meta_raw
yqiA	gproNOG.ENOG410QJKG.meta_raw
STY2919	gproNOG.ENOG410QXTK.meta_raw
STY1164	gproNOG.ENOG410QMB7.meta_raw
ybjT	gproNOG.ENOG410QKXQ.meta_raw
ygjN	gproNOG.ENOG410QTZS.meta_raw
mtgA	gproNOG.ENOG410QJKS.meta_raw
hpaH	gproNOG.ENOG410QJQY.meta_raw
group_8150	gproNOG.ENOG410QTA8.meta_raw
STY2017	gproNOG.ENOG410QSC7.meta_raw
group_4642	gproNOG.ENOG410R5CJ.meta_raw
hisA	gproNOG.ENOG410QKGS.meta_raw
pabA	gproNOG.ENOG410QHVM.meta_raw
yaeC	gproNOG.ENOG410QJBS.meta_raw
ycfM	gproNOG.ENOG410QR60.meta_raw
STY4636	gproNOG.ENOG410QKHD.meta_raw
ftsK	gproNOG.ENOG410QHX9.meta_raw
group_4320	gproNOG.ENOG410R93J.meta_raw
glmS	gproNOG.ENOG410QIJA.meta_raw
group_454	gproNOG.ENOG410QW8J.meta_raw
folP	gproNOG.ENOG410QI0J.meta_raw
group_489	gproNOG.ENOG410QR8T.meta_raw
etfD	gproNOG.ENOG410QIVD.meta_raw
otsB	gproNOG.ENOG410QITQ.meta_raw
nemA	gproNOG.ENOG410QI3Q.meta_raw
STY0602	gproNOG.ENOG410QJJN.meta_raw
moaC	gproNOG.ENOG410QJN0.meta_raw
citE	gproNOG.ENOG410QM1I.meta_raw
add	gproNOG.ENOG410QIJ7.meta_raw
lldP	gproNOG.ENOG410QMEX.meta_raw
STY1479	gproNOG.ENOG410QKZ0.meta_raw
pduL	gproNOG.ENOG410QJEB.meta_raw
group_2295	gproNOG.ENOG410R41R.meta_raw
STY3184	gproNOG.ENOG410QV3B.meta_raw
tctE	gproNOG.ENOG410QJU8.meta_raw
rplR	gproNOG.ENOG410QS7E.meta_raw
ycjF	gproNOG.ENOG410QIGY.meta_raw
vexD	gproNOG.ENOG410QQQG.meta_raw
STY1991	gproNOG.ENOG410RAH8.meta_raw
STY3045	gproNOG.ENOG410QRA2.meta_raw
group_89	gproNOG.ENOG410QMMC.meta_raw
yeaS	gproNOG.ENOG410QMEE.meta_raw
kdgT	gproNOG.ENOG410QIID.meta_raw
group_1512	gproNOG.ENOG410QKT0.meta_raw
STY0949	gproNOG.ENOG410QJD8.meta_raw
yjgA	gproNOG.ENOG410QTVB.meta_raw
leuB	gproNOG.ENOG410QHS3.meta_raw
marB	gproNOG.ENOG410QZ8T.meta_raw
nth	gproNOG.ENOG410QI8Q.meta_raw
group_241	gproNOG.ENOG410QMPC.meta_raw
pncA	gproNOG.ENOG410QP6U.meta_raw
guaA	gproNOG.ENOG410QIAS.meta_raw
mdoB	gproNOG.ENOG410QKX2.meta_raw
ydjL	gproNOG.ENOG410QKJS.meta_raw
group_3134	gproNOG.ENOG410QVA8.meta_raw
hypA	gproNOG.ENOG410R1VK.meta_raw
group_1244	gproNOG.ENOG410QQ1S.meta_raw
dacA	gproNOG.ENOG410QIIC.meta_raw
STY4569	gproNOG.ENOG410QMVC.meta_raw
ychK	gproNOG.ENOG410QKJ3.meta_raw
rnpA	gproNOG.ENOG410QWEI.meta_raw
yfcE	gproNOG.ENOG410QNAT.meta_raw
yjgF	gproNOG.ENOG410R2ID.meta_raw
oafA	gproNOG.ENOG410QJMG.meta_raw
uhpB	gproNOG.ENOG410QMG0.meta_raw
rfbC	gproNOG.ENOG410QPW2.meta_raw
araE	gproNOG.ENOG410QK0J.meta_raw
fucA	gproNOG.ENOG410QJWU.meta_raw
group_3390	gproNOG.ENOG410QI7Y.meta_raw
infC	gproNOG.ENOG410QQU5.meta_raw
STY0760	gproNOG.ENOG410QQF7.meta_raw
spvA	gproNOG.ENOG410QZF7.meta_raw
yqiE	gproNOG.ENOG410QK6N.meta_raw
waaZ	gproNOG.ENOG410QMK0.meta_raw
STY2716	gproNOG.ENOG410QK95.meta_raw
HCM1.226c	gproNOG.ENOG410QMFS.meta_raw
gltX	gproNOG.ENOG410QIH4.meta_raw
group_1518	gproNOG.ENOG410QX38.meta_raw
galT	gproNOG.ENOG410QJIH.meta_raw
yejB	gproNOG.ENOG410RA1Y.meta_raw
STY4619	gproNOG.ENOG410R2UA.meta_raw
envZ	gproNOG.ENOG410QI4E.meta_raw
glgC	gproNOG.ENOG410QINB.meta_raw
yoaE	gproNOG.ENOG410RA2K.meta_raw
yebU	gproNOG.ENOG410QKRA.meta_raw
STY3536	gproNOG.ENOG410QMVV.meta_raw
ycaM	gproNOG.ENOG410QPJM.meta_raw
sul1	gproNOG.ENOG410R0UX.meta_raw
ygdK	gproNOG.ENOG410QQCQ.meta_raw
group_1327	gproNOG.ENOG410QZIE.meta_raw
group_5568	gproNOG.ENOG410QNZS.meta_raw
rpoD	gproNOG.ENOG410QJDT.meta_raw
ydcR	gproNOG.ENOG410QK06.meta_raw
yigW	gproNOG.ENOG410QHZ4.meta_raw
ttk	gproNOG.ENOG410RA33.meta_raw
stiA	gproNOG.ENOG410QRN1.meta_raw
apt	gproNOG.ENOG410QJFF.meta_raw
mpl	gproNOG.ENOG410QHS8.meta_raw
orf245	gproNOG.ENOG410QMMD.meta_raw
group_4138	gproNOG.ENOG410QUSB.meta_raw
ydaO	gproNOG.ENOG410QICY.meta_raw
ybhF	gproNOG.ENOG410QJGF.meta_raw
group_2697	gproNOG.ENOG410QZR6.meta_raw
STY2610	gproNOG.ENOG410QHTS.meta_raw
nagD	gproNOG.ENOG410QIKJ.meta_raw
yieO	gproNOG.ENOG410QHUV.meta_raw
pqaA	gproNOG.ENOG410QPK5.meta_raw
STY3300	gproNOG.ENOG410QQAW.meta_raw
nikB	gproNOG.ENOG410QSA7.meta_raw
mreB	gproNOG.ENOG410QIZN.meta_raw
STY4574	gproNOG.ENOG410QV27.meta_raw
fliI	gproNOG.ENOG410RAZQ.meta_raw
minD	gproNOG.ENOG410QIXZ.meta_raw
topB	gproNOG.ENOG410RAVI.meta_raw
hpaE	gproNOG.ENOG410QHQJ.meta_raw
impC	gproNOG.ENOG410QYUY.meta_raw
group_2639	gproNOG.ENOG410R2MW.meta_raw
atpF	gproNOG.ENOG410QQWD.meta_raw
yigB	gproNOG.ENOG410QIT7.meta_raw
osmE	gproNOG.ENOG410QRI2.meta_raw
ybhP	gproNOG.ENOG410QKE9.meta_raw
sthA	gproNOG.ENOG410QR0N.meta_raw
yfbQ	gproNOG.ENOG410QJ82.meta_raw
group_590	gproNOG.ENOG410R2FR.meta_raw
STY3988	gproNOG.ENOG410QHWC.meta_raw
yjbG	gproNOG.ENOG410QMT0.meta_raw
fis	gproNOG.ENOG410QS1W.meta_raw
group_9000	gproNOG.ENOG410QN43.meta_raw
pocR	gproNOG.ENOG410QKS4.meta_raw
fadR	gproNOG.ENOG410QHRR.meta_raw
ahpC	gproNOG.ENOG410R01J.meta_raw
yncJ	gproNOG.ENOG410QV5S.meta_raw
hofQ	gproNOG.ENOG410QHUZ.meta_raw
ykgJ	gproNOG.ENOG410QS48.meta_raw
fadD	gproNOG.ENOG410QIVG.meta_raw
ydiQ	gproNOG.ENOG410QP8N.meta_raw
dnaX	gproNOG.ENOG410R8XT.meta_raw
group_4863	gproNOG.ENOG410R7W2.meta_raw
yqjC	gproNOG.ENOG410QVXG.meta_raw
group_1876	gproNOG.ENOG410QVQ5.meta_raw
gpt	gproNOG.ENOG410QJJS.meta_raw
yeaN	gproNOG.ENOG410QJ2I.meta_raw
rplB	gproNOG.ENOG410QIEJ.meta_raw
STY4831	gproNOG.ENOG410QT20.meta_raw
yebK	gproNOG.ENOG410QI3W.meta_raw
yhhP	gproNOG.ENOG410QTQH.meta_raw
pepE	gproNOG.ENOG410QQEZ.meta_raw
fliJ	gproNOG.ENOG410QSBT.meta_raw
oppF	gproNOG.ENOG410RB2F.meta_raw
yijP	gproNOG.ENOG410QN73.meta_raw
ompR	gproNOG.ENOG410QI2W.meta_raw
STY4517	gproNOG.ENOG410QUAJ.meta_raw
bcsF	gproNOG.ENOG410QW73.meta_raw
lolC	gproNOG.ENOG410QHZR.meta_raw
group_1523	gproNOG.ENOG410QRA7.meta_raw
yeiR	gproNOG.ENOG410QHYR.meta_raw
menC	gproNOG.ENOG410QKD8.meta_raw
slsA	gproNOG.ENOG410QMT4.meta_raw
STY2876	gproNOG.ENOG410QMM6.meta_raw
yafD	gproNOG.ENOG410QJZJ.meta_raw
nanT	gproNOG.ENOG410QNBB.meta_raw
group_4654	gproNOG.ENOG410QXQX.meta_raw
yeaK	gproNOG.ENOG410QQP7.meta_raw
group_5826	gproNOG.ENOG410QIEY.meta_raw
ychH	gproNOG.ENOG410QTS8.meta_raw
STY3309	gproNOG.ENOG410QN6D.meta_raw
csgA	gproNOG.ENOG410QSJN.meta_raw
group_2572	gproNOG.ENOG410QYWB.meta_raw
HCM1.244c	gproNOG.ENOG410QMVN.meta_raw
STY4521	gproNOG.ENOG410QHYU.meta_raw
yeaM	gproNOG.ENOG410QKHX.meta_raw
group_4658	gproNOG.ENOG410R0CQ.meta_raw
group_3440	gproNOG.ENOG410QM1Z.meta_raw
group_1391	gproNOG.ENOG410QXV2.meta_raw
mutL	gproNOG.ENOG410R8F7.meta_raw
idnK	gproNOG.ENOG410QPN1.meta_raw
STY0196	gproNOG.ENOG410QR7M.meta_raw
cbpA	gproNOG.ENOG410QI62.meta_raw
ybdG	gproNOG.ENOG410QIMK.meta_raw
sefC	gproNOG.ENOG410QMMC.meta_raw
osmY	gproNOG.ENOG410QIGT.meta_raw
fhuE	gproNOG.ENOG410QII5.meta_raw
group_3658	gproNOG.ENOG410QTWC.meta_raw
group_5135	gproNOG.ENOG410QMKF.meta_raw
group_3776	gproNOG.ENOG410QI44.meta_raw
uraH	gproNOG.ENOG410QSQ5.meta_raw
fba	gproNOG.ENOG410QIJ3.meta_raw
dapB	gproNOG.ENOG410QIKH.meta_raw
nfi	gproNOG.ENOG410QHSN.meta_raw
slyA	gproNOG.ENOG410QR0K.meta_raw
nrdI	gproNOG.ENOG410QPW6.meta_raw
yjjI	gproNOG.ENOG410QIPF.meta_raw
pduK	gproNOG.ENOG410QR71.meta_raw
group_2772	gproNOG.ENOG410QKZT.meta_raw
yfaO	gproNOG.ENOG410QQ78.meta_raw
kdsB	gproNOG.ENOG410QII1.meta_raw
group_4263	gproNOG.ENOG410QYVR.meta_raw
ptsI	gproNOG.ENOG410QHZF.meta_raw
yfhJ	gproNOG.ENOG410QVYK.meta_raw
yceJ	gproNOG.ENOG410QJAQ.meta_raw
ilvE	gproNOG.ENOG410QIIG.meta_raw
yciH	gproNOG.ENOG410QS8A.meta_raw
group_688	gproNOG.ENOG410QI1H.meta_raw
fliS	gproNOG.ENOG410QRHB.meta_raw
STY0946	gproNOG.ENOG410R9HA.meta_raw
group_632	gproNOG.ENOG410R3JI.meta_raw
group_4192	gproNOG.ENOG410QUQA.meta_raw
cbiA	gproNOG.ENOG410QK4H.meta_raw
lonH	gproNOG.ENOG410QIET.meta_raw
group_1177	gproNOG.ENOG410QMTY.meta_raw
folB	gproNOG.ENOG410QTT6.meta_raw
htgA	gproNOG.ENOG410QNZQ.meta_raw
yheO	gproNOG.ENOG410QKB3.meta_raw
STY4231	gproNOG.ENOG410QQZ1.meta_raw
STY4665	gproNOG.ENOG410QIHE.meta_raw
kpdB	gproNOG.ENOG410QHY4.meta_raw
sgaU	gproNOG.ENOG410QIN1.meta_raw
yecP	gproNOG.ENOG410QIAC.meta_raw
mmsA	gproNOG.ENOG410QIBK.meta_raw
ytl1	gproNOG.ENOG410QUHR.meta_raw
ydgQ	gproNOG.ENOG410QJBR.meta_raw
codA	gproNOG.ENOG410QJUQ.meta_raw
murB	gproNOG.ENOG410QIXX.meta_raw
ycaO	gproNOG.ENOG410QIEU.meta_raw
group_2468	gproNOG.ENOG410QRSU.meta_raw
STY0050	gproNOG.ENOG410R9ZR.meta_raw
phsB	gproNOG.ENOG410QQNZ.meta_raw
yccD	gproNOG.ENOG410QT23.meta_raw
STY1077	gproNOG.ENOG410QWHX.meta_raw
dmsA3	gproNOG.ENOG410RAWK.meta_raw
STY0374	gproNOG.ENOG410QYZV.meta_raw
STY4624	gproNOG.ENOG410QT2D.meta_raw
ftsI	gproNOG.ENOG410QI6S.meta_raw
frdC	gproNOG.ENOG410QR4T.meta_raw
dsbD	gproNOG.ENOG410QHT0.meta_raw
ymfL	gproNOG.ENOG410QQ42.meta_raw
pspF	gproNOG.ENOG410QJN1.meta_raw
rfc	gproNOG.ENOG410R10T.meta_raw
ptsA	gproNOG.ENOG410QKQZ.meta_raw
yjeA	gproNOG.ENOG410QIBR.meta_raw
yjgD	gproNOG.ENOG410QTYB.meta_raw
rusA	gproNOG.ENOG410QVE9.meta_raw
group_5521	gproNOG.ENOG410QUVC.meta_raw
group_4606	gproNOG.ENOG410QNJR.meta_raw
stfD	gproNOG.ENOG410QM0E.meta_raw
fdnI	gproNOG.ENOG410QI0G.meta_raw
STY3790	gproNOG.ENOG410QVES.meta_raw
yhbC	gproNOG.ENOG410QRY5.meta_raw
secA	gproNOG.ENOG410QI9G.meta_raw
group_4395	gproNOG.ENOG410QWGQ.meta_raw
ydhD	gproNOG.ENOG410QS1F.meta_raw
STY1388	gproNOG.ENOG410QHRK.meta_raw
group_2634	gproNOG.ENOG410R5TU.meta_raw
group_734	gproNOG.ENOG410QRT7.meta_raw
tdh	gproNOG.ENOG410QJ4W.meta_raw
group_2967	gproNOG.ENOG410QKZT.meta_raw
group_743	gproNOG.ENOG410QK46.meta_raw
pfkB	gproNOG.ENOG410QJZ8.meta_raw
ubiC	gproNOG.ENOG410QW0Y.meta_raw
yghJ	gproNOG.ENOG410QMGD.meta_raw
group_6844	gproNOG.ENOG410QNFD.meta_raw
group_220	gproNOG.ENOG410R39B.meta_raw
group_5105	gproNOG.ENOG410QRDN.meta_raw
group_2990	gproNOG.ENOG410R135.meta_raw
group_4385	gproNOG.ENOG410R418.meta_raw
hthR	gproNOG.ENOG410QNCQ.meta_raw
yjgM	gproNOG.ENOG410QQ1M.meta_raw
trg	gproNOG.ENOG410QIB8.meta_raw
STY3232	gproNOG.ENOG410RB0E.meta_raw
STY3172	gproNOG.ENOG410R2IB.meta_raw
yiiQ	gproNOG.ENOG410QQZZ.meta_raw
prpA	gproNOG.ENOG410QNKZ.meta_raw
dcd	gproNOG.ENOG410QIU6.meta_raw
recQ	gproNOG.ENOG410QIKP.meta_raw
lrhA	gproNOG.ENOG410QIKV.meta_raw
STY4618	gproNOG.ENOG410QT1Z.meta_raw
gcl	gproNOG.ENOG410QIC3.meta_raw
group_166	gproNOG.ENOG410QZXP.meta_raw
rpsV	gproNOG.ENOG410R56T.meta_raw
fliY	gproNOG.ENOG410QNIQ.meta_raw
group_1892	gproNOG.ENOG410R66I.meta_raw
yfaW	gproNOG.ENOG410QKY1.meta_raw
group_5034	gproNOG.ENOG410R12I.meta_raw
rpsL	gproNOG.ENOG410QQVP.meta_raw
gatA	gproNOG.ENOG410QRR6.meta_raw
fruB	gproNOG.ENOG410QJAJ.meta_raw
STY0414	gproNOG.ENOG410QN3U.meta_raw
group_4851	gproNOG.ENOG410R3P7.meta_raw
relA	gproNOG.ENOG410QHW3.meta_raw
STY4631	gproNOG.ENOG410QS4Y.meta_raw
cysZ	gproNOG.ENOG410QIYC.meta_raw
bcfD	gproNOG.ENOG410R0G9.meta_raw
murE	gproNOG.ENOG410QI2X.meta_raw
araC	gproNOG.ENOG410QIQ3.meta_raw
nupC	gproNOG.ENOG410QIRJ.meta_raw
group_3354	gproNOG.ENOG410QID8.meta_raw
stpA	gproNOG.ENOG410QRX1.meta_raw
fepB	gproNOG.ENOG410QM7V.meta_raw
yajI	gproNOG.ENOG410QMXV.meta_raw
group_365	gproNOG.ENOG410QN43.meta_raw
group_4759	gproNOG.ENOG410QZGF.meta_raw
STY1532	gproNOG.ENOG410QJFR.meta_raw
pal	gproNOG.ENOG410QTSX.meta_raw
ydcN	gproNOG.ENOG410RAY2.meta_raw
yijD	gproNOG.ENOG410QSI0.meta_raw
STY1514	gproNOG.ENOG410QTD0.meta_raw
STY2039	gproNOG.ENOG410QPUN.meta_raw
glpD	gproNOG.ENOG410QJ3U.meta_raw
yebB	gproNOG.ENOG410QN15.meta_raw
yohF	gproNOG.ENOG410QPBE.meta_raw
feoB	gproNOG.ENOG410QJM6.meta_raw
trpE	gproNOG.ENOG410QIPW.meta_raw
ompC	gproNOG.ENOG410QJFR.meta_raw
group_5127	gproNOG.ENOG410QM2E.meta_raw
yhjQ	gproNOG.ENOG410QP9X.meta_raw
rffH	gproNOG.ENOG410QI7G.meta_raw
yebW	gproNOG.ENOG410QV51.meta_raw
alkB	gproNOG.ENOG410QNZ8.meta_raw
gyrB	gproNOG.ENOG410QJ2B.meta_raw
yrbK	gproNOG.ENOG410QME1.meta_raw
yidC	gproNOG.ENOG410QIEV.meta_raw
dnaB	gproNOG.ENOG410QJCQ.meta_raw
group_353	gproNOG.ENOG410R1GG.meta_raw
potA	gproNOG.ENOG410QIYY.meta_raw
sucB	gproNOG.ENOG410QI4F.meta_raw
ybhA	gproNOG.ENOG410QJBH.meta_raw
aefA	gproNOG.ENOG410QIUD.meta_raw
vexE	gproNOG.ENOG410QKW1.meta_raw
elbA	gproNOG.ENOG410QXSW.meta_raw
yifA	gproNOG.ENOG410QJ9K.meta_raw
eutC	gproNOG.ENOG410QKV3.meta_raw
STY0918	gproNOG.ENOG410QSB6.meta_raw
treC	gproNOG.ENOG410QIPJ.meta_raw
hemE	gproNOG.ENOG410QISB.meta_raw
zipA	gproNOG.ENOG410R9KG.meta_raw
btuF	gproNOG.ENOG410QK8F.meta_raw
STY4468	gproNOG.ENOG410QIXF.meta_raw
rfaE	gproNOG.ENOG410QJ1B.meta_raw
blaT	gproNOG.ENOG410QMPR.meta_raw
vmtV	gproNOG.ENOG410R170.meta_raw
yigP	gproNOG.ENOG410QT9X.meta_raw
aspC	gproNOG.ENOG410QIC5.meta_raw
group_1029	gproNOG.ENOG410QJGJ.meta_raw
lpfC	gproNOG.ENOG410QIEY.meta_raw
yhcG	gproNOG.ENOG410QPEZ.meta_raw
group_4853	gproNOG.ENOG410R20W.meta_raw
group_896	gproNOG.ENOG410QXZ1.meta_raw
srfC	gproNOG.ENOG410QKAA.meta_raw
gudD	gproNOG.ENOG410QM8Z.meta_raw
yqgE	gproNOG.ENOG410QQTX.meta_raw
osmB	gproNOG.ENOG410QWGF.meta_raw
group_2557	gproNOG.ENOG410QX3J.meta_raw
ftsQ	gproNOG.ENOG410QU5M.meta_raw
nhoA	gproNOG.ENOG410QK7S.meta_raw
group_4612	gproNOG.ENOG410QQS1.meta_raw
group_3834	gproNOG.ENOG410QIRR.meta_raw
STY3945	gproNOG.ENOG410QJE9.meta_raw
yicI	gproNOG.ENOG410QK3R.meta_raw
sdhD	gproNOG.ENOG410QUMV.meta_raw
group_2833	gproNOG.ENOG410QI2J.meta_raw
STY2509	gproNOG.ENOG410R16F.meta_raw
hpaR	gproNOG.ENOG410QR41.meta_raw
STY4852	gproNOG.ENOG410R5W5.meta_raw
STY4649	gproNOG.ENOG410QKIZ.meta_raw
actP	gproNOG.ENOG410QJUC.meta_raw
STY3615	gproNOG.ENOG410QTYM.meta_raw
group_468	gproNOG.ENOG410QMHD.meta_raw
narI	gproNOG.ENOG410QJFT.meta_raw
group_99	gproNOG.ENOG410RA2D.meta_raw
allR	gproNOG.ENOG410QK1P.meta_raw
ybbL	gproNOG.ENOG410QHX7.meta_raw
exoD	gproNOG.ENOG410QS5P.meta_raw
yjiD	gproNOG.ENOG410R36W.meta_raw
group_215	gproNOG.ENOG410QKWU.meta_raw
akr	gproNOG.ENOG410QHR8.meta_raw
yciF	gproNOG.ENOG410QMQF.meta_raw
STY3343	gproNOG.ENOG410R54P.meta_raw
napH	gproNOG.ENOG410QHQ7.meta_raw
nifS	gproNOG.ENOG410QI1U.meta_raw
STY4596	gproNOG.ENOG410R60N.meta_raw
ampG	gproNOG.ENOG410QJ1C.meta_raw
rpc	gproNOG.ENOG410QUP4.meta_raw
ybjK	gproNOG.ENOG410QQA8.meta_raw
pssA	gproNOG.ENOG410QJ5H.meta_raw
STY0049	gproNOG.ENOG410QK7R.meta_raw
maf	gproNOG.ENOG410QMJ0.meta_raw
yqgA	gproNOG.ENOG410QPSX.meta_raw
insA	gproNOG.ENOG410QY8K.meta_raw
htrB	gproNOG.ENOG410QJ2A.meta_raw
STY0292	gproNOG.ENOG410R42U.meta_raw
aarF	gproNOG.ENOG410QJ98.meta_raw
dcuA	gproNOG.ENOG410QJ5Y.meta_raw
group_4577	gproNOG.ENOG410QYAC.meta_raw
hoxN	gproNOG.ENOG410QK1X.meta_raw
ptfB	gproNOG.ENOG410QUDB.meta_raw
wzzE	gproNOG.ENOG410QK0C.meta_raw
kdpB	gproNOG.ENOG410QK4B.meta_raw
ydfI	gproNOG.ENOG410QJ0R.meta_raw
thiH	gproNOG.ENOG410QJMS.meta_raw
cpxP	gproNOG.ENOG410QQJP.meta_raw
yfcL	gproNOG.ENOG410QTQ5.meta_raw
entF	gproNOG.ENOG410RA5U.meta_raw
STY1962	gproNOG.ENOG410QPH1.meta_raw
STY3064	gproNOG.ENOG410QUQ0.meta_raw
STY2346	gproNOG.ENOG410R0TY.meta_raw
group_613	gproNOG.ENOG410QSXV.meta_raw
gloB	gproNOG.ENOG410QQ46.meta_raw
group_5828	gproNOG.ENOG410QWZA.meta_raw
group_821	gproNOG.ENOG410R591.meta_raw
STY4118	gproNOG.ENOG410QMI6.meta_raw
sugR	gproNOG.ENOG410QI2J.meta_raw
STY0297	gproNOG.ENOG410QPJ2.meta_raw
lspA	gproNOG.ENOG410QSQ1.meta_raw
group_2881	gproNOG.ENOG410R7FB.meta_raw
btuB	gproNOG.ENOG410QINV.meta_raw
cdd	gproNOG.ENOG410QJ60.meta_raw
yaiB	gproNOG.ENOG410QV3X.meta_raw
STY1868	gproNOG.ENOG410QRD6.meta_raw
yehV	gproNOG.ENOG410QN5W.meta_raw
acnA	gproNOG.ENOG410QK4V.meta_raw
fdoH	gproNOG.ENOG410QJX0.meta_raw
pefC	gproNOG.ENOG410QP1G.meta_raw
STY4529	gproNOG.ENOG410QQKW.meta_raw
phnR	gproNOG.ENOG410QN9Z.meta_raw
treA	gproNOG.ENOG410QIYV.meta_raw
group_3423	gproNOG.ENOG410QKRN.meta_raw
wzc	gproNOG.ENOG410QKN7.meta_raw
ydiA	gproNOG.ENOG410QK60.meta_raw
ycfX	gproNOG.ENOG410QHQ3.meta_raw
srfB	gproNOG.ENOG410QIFW.meta_raw
group_4531	gproNOG.ENOG410QM1I.meta_raw
ftsW	gproNOG.ENOG410QIVA.meta_raw
ybaS	gproNOG.ENOG410QHRY.meta_raw
yfhH	gproNOG.ENOG410QN4H.meta_raw
STY4570	gproNOG.ENOG410QJC9.meta_raw
group_1996	gproNOG.ENOG410R6PB.meta_raw
sirC	gproNOG.ENOG410QSFZ.meta_raw
smpB	gproNOG.ENOG410QQXK.meta_raw
yaeL	gproNOG.ENOG410QI6T.meta_raw
stdA	gproNOG.ENOG410R2F6.meta_raw
wecG	gproNOG.ENOG410QI79.meta_raw
group_4624	gproNOG.ENOG410QKX8.meta_raw
grxB	gproNOG.ENOG410QM40.meta_raw
pflF	gproNOG.ENOG410QJE2.meta_raw
STY0014	gproNOG.ENOG410QNTE.meta_raw
group_3518	gproNOG.ENOG410QVS6.meta_raw
group_1079	gproNOG.ENOG410QI11.meta_raw
STY3766	gproNOG.ENOG410QKTA.meta_raw
envR	gproNOG.ENOG410QQK3.meta_raw
group_2024	gproNOG.ENOG410QZ0E.meta_raw
arsR	gproNOG.ENOG410QKDZ.meta_raw
yceE	gproNOG.ENOG410QN3U.meta_raw
astC	gproNOG.ENOG410QIZH.meta_raw
yeeX	gproNOG.ENOG410QR99.meta_raw
dnaC	gproNOG.ENOG410QI06.meta_raw
group_3890	gproNOG.ENOG410QHYF.meta_raw
STY3543	gproNOG.ENOG410QTST.meta_raw
xis	gproNOG.ENOG410QXKF.meta_raw
cysU	gproNOG.ENOG410RAKX.meta_raw
STY4208	gproNOG.ENOG410QXWQ.meta_raw
STY4648	gproNOG.ENOG410R3SU.meta_raw
group_3952	gproNOG.ENOG410R5QA.meta_raw
ydhZ	gproNOG.ENOG410QVCJ.meta_raw
yegD	gproNOG.ENOG410QKTN.meta_raw
yeiH	gproNOG.ENOG410QJPH.meta_raw
yaoF	gproNOG.ENOG410QVG6.meta_raw
group_2916	gproNOG.ENOG410QSW1.meta_raw
STY1783	gproNOG.ENOG410R761.meta_raw
bcfB	gproNOG.ENOG410R0QY.meta_raw
group_4576	gproNOG.ENOG410QWS8.meta_raw
STY3821	gproNOG.ENOG410QMWR.meta_raw
group_4349	gproNOG.ENOG410QTXM.meta_raw
yfaU	gproNOG.ENOG410QIZP.meta_raw
ybaL	gproNOG.ENOG410RA0Q.meta_raw
proW	gproNOG.ENOG410RAAC.meta_raw
group_3006	gproNOG.ENOG410QSW1.meta_raw
group_788	gproNOG.ENOG410QMVV.meta_raw
rpoB	gproNOG.ENOG410RAQH.meta_raw
yfcZ	gproNOG.ENOG410QU9G.meta_raw
menD	gproNOG.ENOG410QI3Y.meta_raw
yhfK	gproNOG.ENOG410QMDS.meta_raw
norV	gproNOG.ENOG410RA4D.meta_raw
