"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Salmonella_enterica_subsp_enterica_serovar_Agona_str_SL483_v1","Salmonella_enterica_subsp_enterica_serovar_Choleraesuis_str_SC-B67_v1","Salmonella_enterica_subsp_enterica_serovar_Dublin_str_CT_02021853_v1","Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_P125109_v1","Salmonella_enterica_subsp_enterica_serovar_Gallinarum_str_287_91_v1","Salmonella_enterica_subsp_enterica_serovar_Heidelberg_str_SL476_v1","Salmonella_enterica_subsp_enterica_serovar_Newport_str_SL254_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_A_str_ATCC_9150_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_B_str_SPB7_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_C_strain_RKS4594_v1","Salmonella_enterica_subsp_enterica_serovar_Schwarzengrund_str_CVM19633_v1","Salmonella_enterica_subsp_enterica_serovar_Typhi_str_CT18_v1","Salmonella_enterica_subsp_enterica_serovar_Typhimurium_str_LT2_v1"
"ydiZ","","conserved hypothetical protein","13","13","1","1","8257","","","","266","290","288","CP001138.3623","AE017220.2952","CP001144.3901","AM933172.5615___7497","AM933173.5432___26462","CP001120.2849","CP001113.2826","CP000026.3037","CP000886.4033___41472","CP000857.4808","CP001127.2787","AL513382.3372___52370","AE006468.4040"
"yniA","","fructosamine kinase","13","13","1","1","8256","","","","710","860","848","CP001138.3625","AE017220.2950","CP001144.3903","AM933172.5616___7498","AM933173.5433___26463","CP001120.2847","CP001113.2824","CP000026.3039","CP000886.4035___41474","CP000857.4810","CP001127.2785","AL513382.3373___52371","AE006468.4037"
"ydjM","","inner membrane protein YdjM","13","13","1","1","8253","","","","587","599","598","CP001138.3631","AE017220.2944","CP001144.3909","AM933172.5622___7506","AM933173.5439___26471","CP001120.2841","CP001113.2818","CP000026.3045","CP000886.4041___41480","CP000857.4816","CP001127.2779","AL513382.3377___52375","AE006468.4029"
"celD","","HTH-type transcriptional regulator ChbR","13","13","1","1","8247","","","","764","842","829","CP001138.3643","AE017220.2931","CP001144.3921","AM933172.5640___7533","AM933173.5457___26498","CP001120.2829","CP001113.2806","CP000026.3057","CP000886.4053___41492","CP000857.4828","CP001127.2767","AL513382.3392___52390","AE006468.4010"
"astE","","succinylglutamate desuccinylase","13","13","1","1","8238","","","","968","968","968","CP001138.3663","AE017220.2915","CP001144.3941","AM933172.5665___7567","AM933173.5482___26532","CP001120.2809","CP001113.2786","CP000026.3073","CP000886.4075___41514","CP000857.4845","CP001127.2747","AL513382.3405___52403","AE006468.3984"
"nudG","","CTP pyrophosphohydrolase","13","13","1","1","8230","","","","416","416","416","CP001138.3679","AE017220.2905","CP001144.3953","AM933172.5682___7584","AM933173.5499___26549","CP001120.2797","CP001113.2772","CP000026.3085","CP000886.4089___41528","CP000857.4857","CP001127.2733","AL513382.3419___52417","AE006468.3966"
"topB","","DNA topoisomerase III","13","13","1","1","8227","","","","1949","2006","1954","CP001138.3685","AE017220.2899","CP001144.3959","AM933172.5692___7594","AM933173.5508___26560","CP001120.2791","CP001113.2766","CP000026.3091","CP000886.4093___41532","CP000857.4863","CP001127.2727","AL513382.3426___52424","AE006468.3958"
"ydjA","","nitroreductase family protein","13","13","1","1","8225","","","","551","551","551","CP001138.3689","AE017220.2895","CP001144.3963","AM933172.5700___7602","AM933173.5516___26568","CP001120.2787","CP001113.2762","CP000026.3095","CP000886.4097___41536","CP000857.4867","CP001127.2723","AL513382.3432___52430","AE006468.3953"
"ansA","","L-asparaginase 1","13","13","1","1","8223","","","","1016","1088","1043","CP001138.3693","AE017220.2891","CP001144.3967","AM933172.5706___7608","AM933173.5522___26574","CP001120.2783","CP001113.2758","CP000026.3099","CP000886.4103___41542","CP000857.4871","CP001127.2719","AL513382.3437___52435","AE006468.3946"
"pncA","","pyrazinamidase/nicotinamidase","13","13","1","1","8222","","","","623","656","653","CP001138.3695","AE017220.2889","CP001144.3969","AM933172.5710___7612","AM933173.5526___26578","CP001120.2781","CP001113.2756","CP000026.3101","CP000886.4105___41544","CP000857.4873","CP001127.2717","AL513382.3441___52439","AE006468.3943"
"yeaL","","conserved hypothetical protein","13","13","1","1","8197","","","","404","446","442","CP001138.3725","AE017220.2840","CP001144.4016","AM933172.5771___7697","AM933173.5572___26640","CP001120.2751","CP001113.2726","CP000026.3127","CP000886.4142___41581","CP000857.4916","CP001127.2687","AL513382.3460___52458","AE006468.3905"
"STY1842","","conserved hypothetical protein","13","13","1","1","8192","","","","311","311","311","CP001138.3734","AE017220.2832","CP001144.4025","AM933172.5786___7726","AM933173.5585___26667","CP001120.2744","CP001113.2717","CP000026.3135","CP000886.4152___41591","CP000857.4923","CP001127.2680","AL513382.3466___52464","AE006468.3894"
"yaoF","","putative hemolysin","13","13","1","1","8191","","","","158","251","236","CP001138.3736","AE017220.2830","CP001144.4027","AM933172.5788___7728","AM933173.5587___26669","CP001120.2742","CP001113.2715","CP000026.3137","CP000886.4154___41593","CP000857.4925","CP001127.2678","AL513382.3467___52465","AE006468.3891"
"aroQ","","monofunctional chorismate mutase","13","13","1","1","8180","","","","545","545","545","CP001138.3753","AE017220.2816","CP001144.4047","AM933172.5807___7757","AM933173.5605___26697","CP001120.2722","CP001113.2697","CP000026.3153","CP000886.4180___41619","CP000857.4941","CP001127.2660","AL513382.3478___52476","AE006468.3873"
"STY1854","","putative cytoplasmic protein","13","13","1","1","8179","","","","188","248","229","CP001138.3755","AE017220.2814","CP001144.4049","AM933172.5810___7760","AM933173.5608___26700","CP001120.2718","CP001113.2695","CP000026.3157","CP000886.4184___41623","CP000857.4944","CP001127.2658","AL513382.3481___52479","AE006468.3866"
"STY1856","","putative regulatory protein","13","13","1","1","8175","","","","593","647","613","CP001138.3759","AE017220.2809","CP001144.4053","AM933172.5814___7764","AM933173.5612___26704","CP001120.2714","CP001113.2691","CP000026.3161","CP000886.4188___41627","CP000857.4948","CP001127.2654","AL513382.3485___52483","AE006468.3861"
"STY1861","","ATP-binding protein of ABC transport system","13","13","1","1","8169","","","","590","590","590","CP001138.3771","AE017220.2797","CP001144.4064","AM933172.5830___7784","AM933173.5627___26720","CP001120.2702","CP001113.2681","CP000026.3173","CP000886.4204___41643","CP000857.4960","CP001127.2642","AL513382.3494___52492","AE006468.3844"
"STY1862","","ABC nickel/di-oligopepetide transporter, ATP binding subunit","13","13","1","1","8168","","","","797","797","797","CP001138.3773","AE017220.2795","CP001144.4066","AM933172.5834___7788","AM933173.5631___26724","CP001120.2700","CP001113.2679","CP000026.3175","CP000886.4206___41645","CP000857.4962","CP001127.2640","AL513382.3499___52497","AE006468.3841"
"oxd6C","","ABC nickel/di-oligopepetide transporter, permease subunit","13","13","1","1","8167","","","","788","812","810","CP001138.3775","AE017220.2793","CP001144.4068","AM933172.5837___7791","AM933173.5634___26727","CP001120.2698","CP001113.2677","CP000026.3177","CP000886.4208___41647","CP000857.4964","CP001127.2638","AL513382.3502___52500","AE006468.3838"
"STY1867","","conserved hypothetical protein","13","13","1","1","8161","","","","143","314","300","CP001138.3783","AE017220.2787","CP001144.4080","AM933172.5849___7809","AM933173.5646___26745","CP001120.2688","CP001113.2667","CP000026.3183","CP000886.4218___41657","CP000857.4972","CP001127.2628","AL513382.3507___52505","AE006468.3828"
"STY1868","","nickel-dependent hydrogenase, B-type cytochrome subunit","13","13","1","1","8158","","","","527","530","529","CP001138.3785","AE017220.2785","CP001144.4082","AM933172.5853___7813","AM933173.5650___26749","CP001120.2686","CP001113.2665","CP000026.3185","CP000886.4220___41659","CP000857.4974","CP001127.2626","AL513382.3509___52507","AE006468.3825"
"envE","","EnvE","13","13","1","1","8141","","","","521","521","521","CP001138.3809","AE017220.2758","CP001144.4104","AM933172.5877___7840","AM933173.5674___26778","CP001120.2664","CP001113.2643","CP000026.3207","CP000886.4260___41699","CP000857.4995","CP001127.2600","AL513382.3531___52529","AE006468.3797"
"trmU","","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase","13","13","1","1","7038","","","","1106","1151","1112","CP001138.3828","AE017220.2612","CP001144.4120","AM933172.5899___7864","AM933173.5696___26802","CP001120.2645","CP001113.2625","CP000026.3231","CP000886.4562___42001","CP000857.5015","CP001127.2570","AL513382.2398___51396","AE006468.3770"
"ycfD","","cupin family protein","13","13","1","1","7033","","","","1121","1151","1125","CP001138.3838","AE017220.2602","CP001144.4130","AM933172.5918___7884","AM933173.5715___26822","CP001120.2635","CP001113.2615","CP000026.3241","CP000886.4572___42011","CP000857.5025","CP001127.2560","AL513382.2387___51385","AE006468.3754"
"pepT","","peptidase T","13","13","1","1","7031","","","","1121","1229","1220","CP001138.3842","AE017220.2598","CP001144.4134","AM933172.5923___7889","AM933173.5719___26826","CP001120.2631","CP001113.2611","CP000026.3245","CP000886.4576___42015","CP000857.5029","CP001127.2557","AL513382.2382___51380","AE006468.3749"
"potB","","spermidine/putrescine transport system permease protein PotB","13","13","1","1","7029","","","","833","863","856","CP001138.3846","AE017220.2594","CP001144.4138","AM933172.5933___7899","AM933173.5729___26836","CP001120.2627","CP001113.2607","CP000026.3249","CP000886.4582___42021","CP000857.5033","CP001127.2553","AL513382.2375___51373","AE006468.3743"
"cobB","","NAD-dependent deacetylase","13","13","1","1","8633","","","","713","821","804","CP001138.3854","AE017220.2584","CP001144.4150","AM933172.5948___7924","AM933173.5742___26859","CP001120.2615","CP001113.2597","CP000026.3257","CP000886.4596___42035","CP000857.5043","CP001127.2541","AL513382.2367___51365","AE006468.3733"
"lolC","","lipoprotein-releasing system transmembrane protein LolC","13","13","1","1","8637","","","","1199","1310","1241","CP001138.3862","AE017220.2576","CP001144.4158","AM933172.5963___7942","AM933173.5756___26876","CP001120.2607","CP001113.2589","CP000026.3265","CP000886.4604___42043","CP000857.5051","CP001127.2533","AL513382.2358___51356","AE006468.3721"
"ycfS","","LysM domain/ErfK/YbiS/YcfS/YnhG family protein","13","13","1","1","8640","","","","791","965","951","CP001138.3868","AE017220.2572","CP001144.4164","AM933172.5972___7954","AM933173.5765___26888","CP001120.2601","CP001113.2583","CP000026.3269","CP000886.4612___42051","CP000857.5057","CP001127.2527","AL513382.2352___51350","AE006468.3715"
"ndh","","NADH dehydrogenase","13","13","1","1","8646","","","","1280","1331","1308","CP001138.3876","AE017220.2564","CP001144.4172","AM933172.5987___7969","AM933173.5779___26904","CP001120.2593","CP001113.2575","CP000026.3279","CP000886.4620___42059","CP000857.5065","CP001127.2519","AL513382.2346___51344","AE006468.3704"
"ycfF","","putative protein kinase C inhibitor","13","13","1","1","8652","","","","359","377","368","CP001138.3888","AE017220.2552","CP001144.4184","AM933172.6005___7987","AM933173.5796___26921","CP001120.2581","CP001113.2563","CP000026.3291","CP000886.4636___42075","CP000857.5077","CP001127.2507","AL513382.2334___51332","AE006468.3682"
"ycfH","","deoxyribonuclease","13","13","1","1","8655","","","","725","797","791","CP001138.3896","AE017220.2546","CP001144.4190","AM933172.6020___8010","AM933173.5810___26944","CP001120.2575","CP001113.2557","CP000026.3297","CP000886.4644___42083","CP000857.5082","CP001127.2501","AL513382.2324___51322","AE006468.3673"
"yceG","","conserved hypothetical protein","13","13","1","1","8659","","","","956","1022","1006","CP001138.3902","AE017220.2540","CP001144.4196","AM933172.6030___8020","AM933173.5820___26954","CP001120.2569","CP001113.2551","CP000026.3303","CP000886.4650___42089","CP000857.5088","CP001127.2495","AL513382.2319___51317","AE006468.3664"
"fabF","","3-oxoacyl-[acyl-carrier-protein] synthase II","13","13","1","1","8669","","","","1205","1241","1231","CP001138.3906","AE017220.2531","CP001144.4200","AM933172.6035___8025","AM933173.5825___26959","CP001120.2565","CP001113.2547","CP000026.3307","CP000886.4654___42093","CP000857.5096","CP001127.2479","AL513382.2313___51311","AE006468.3659"
"fabD","","malonyl CoA-acyl carrier protein transacylase","13","13","1","1","8672","","","","878","929","925","CP001138.3912","AE017220.2525","CP001144.4206","AM933172.6046___8036","AM933173.5836___26970","CP001120.2559","CP001113.2541","CP000026.3313","CP000886.4660___42099","CP000857.5102","CP001127.2473","AL513382.2303___51301","AE006468.3650"
"yceD","","conserved hypothetical protein","13","13","1","1","8676","","","","377","521","509","CP001138.3920","AE017220.2517","CP001144.4214","AM933172.6055___8045","AM933173.5845___26979","CP001120.2551","CP001113.2533","CP000026.3321","CP000886.4668___42107","CP000857.5110","CP001127.2465","AL513382.2299___51297","AE006468.3639"
"flgN","","flagella synthesis protein FlgN","13","13","1","1","8697","","","","392","422","410","CP001138.3961","AE017220.2477","CP001144.4254","AM933172.6110___8100","AM933173.5897___27034","CP001120.2510","CP001113.2492","CP000026.3359","CP000886.4719___42158","CP000857.5150","CP001127.2424","AL513382.2259___51257","AE006468.3586"
"mviN","","integral membrane protein MviN","13","13","1","1","8698","","","","1493","1574","1561","CP001138.3963","AE017220.2475","CP001144.4256","AM933172.6112___8102","AM933173.5899___27036","CP001120.2508","CP001113.2490","CP000026.3361","CP000886.4721___42160","CP000857.5152","CP001127.2422","AL513382.2258___51256","AE006468.3584"
"pyrC","","dihydroorotase, homodimeric type","13","13","1","1","8705","","","","1046","1046","1046","CP001138.3977","AE017220.2462","CP001144.4270","AM933172.6136___8147","AM933173.5919___27079","CP001120.2494","CP001113.2476","CP000026.3375","CP000886.4737___42176","CP000857.5166","CP001127.2408","AL513382.2246___51244","AE006468.3559"
"dinI","","DNA damage-inducible protein I, inhibits UmuD processing","13","13","1","1","8706","","","","245","302","249","CP001138.3979","AE017220.2460","CP001144.4272","AM933172.6140___8151","AM933173.5923___27083","CP001120.2492","CP001113.2474","CP000026.3377","CP000886.4739___42178","CP000857.5168","CP001127.2406","AL513382.2244___51242","AE006468.3556"
"htrB","","lipid A biosynthesis lauroyl acyltransferase","13","13","1","1","8714","","","","839","920","913","CP001138.3995","AE017220.2444","CP001144.4288","AM933172.6157___8171","AM933173.5940___27103","CP001120.2476","CP001113.2458","CP000026.3391","CP000886.4755___42194","CP000857.5184","CP001127.2390","AL513382.2235___51233","AE006468.3535"
"nudD","","GDP-mannose mannosyl hydrolase","13","13","1","1","6454","","","","386","503","469","CP001138.4370","AE017220.4626","CP001144.4732","AM933172.6708___8846","AM933173.6380___27671","CP001120.4576","CP001113.4489","CP000026.1517","CP000886.1851___39290","CP000857.3241","CP001127.4571","AL513382.4423___53421","AE006468.6374"
"csgB","","minor curlin protein CsgB","13","13","1","1","8728","","","","455","482","457","CP001138.4021","AE017220.2421","CP001144.4312","AM933172.6194___8233","AM933173.5975___27162","CP001120.2452","CP001113.2434","CP000026.3415","CP000886.4781___42220","CP000857.5206","CP001127.2364","AL513382.2217___51215","AE006468.3501"
"csgD","","transcriptional regulator CsgD","13","13","1","1","8730","","","","626","650","648","CP001138.4023","AE017220.2419","CP001144.4314","AM933172.6198___8237","AM933173.5979___27166","CP001120.2450","CP001113.2432","CP000026.3417","CP000886.4791___42230","CP000857.5208","CP001127.2362","AL513382.2214___51212","AE006468.3494"
"csgG","","curli production assembly/transport component CsgG","13","13","1","1","8733","","","","746","833","819","CP001138.4029","AE017220.2413","CP001144.4320","AM933172.6206___8245","AM933173.5986___27173","CP001120.2444","CP001113.2426","CP000026.3423","CP000886.4797___42236","CP000857.5214","CP001127.2356","AL513382.2210___51208","AE006468.3486"
"ycdY","","chaperone, TorD family","13","13","1","1","8735","","","","497","554","549","CP001138.4033","AE017220.2409","CP001144.4324","AM933172.6214___8258","AM933173.5991___27183","CP001120.2440","CP001113.2422","CP000026.3427","CP000886.4801___42240","CP000857.5218","CP001127.2352","AL513382.2208___51206","AE006468.3482"
"cobT","","nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase","13","13","1","1","6576","","","","1070","1100","1072","CP001138.4184","AE017220.4456","CP001144.4543","AM933172.6425___8491","AM933173.6107___27316","CP001120.4388","CP001113.4298","CP000026.1709","CP000886.2184___39623","CP000857.3410","CP001127.4270","AL513382.4175___53173","AE006468.6107"
"cbiN","","cobalt transport protein CbiN","13","13","1","1","6569","","","","281","281","281","CP001138.4196","AE017220.4468","CP001144.4555","AM933172.6446___8519","AM933173.6124___27342","CP001120.4400","CP001113.4310","CP000026.1697","CP000886.2172___39611","CP000857.3398","CP001127.4282","AL513382.4192___53190","AE006468.6124"
"pduA","","propanediol utilization protein PduA","13","13","1","1","6550","","","","263","284","280","CP001138.4229","AE017220.4500","CP001144.4588","AM933172.6501___8590","AM933173.6177___27414","CP001120.4433","CP001113.4343","CP000026.1665","CP000886.2137___39576","CP000857.3364","CP001127.4315","AL513382.4239___53237","AE006468.6174"
"pudB","","propanediol utilization protein PduB","13","13","1","1","6549","","","","701","812","769","CP001138.4231","AE017220.4502","CP001144.4590","AM933172.6504___8593","AM933173.6180___27417","CP001120.4435","CP001113.4345","CP000026.1663","CP000886.2135___39574","CP000857.3362","CP001127.4317","AL513382.4242___53240","AE006468.6177"
"pduL","","propanediol utilization","13","13","1","1","6541","","","","632","632","632","CP001138.4247","AE017220.4518","CP001144.4606","AM933172.6523___8612","AM933173.6197___27436","CP001120.4451","CP001113.4361","CP000026.1647","CP000886.2119___39558","CP000857.3346","CP001127.4333","AL513382.4262___53260","AE006468.6200"
"pduV","","ethanolamine utilization protein, EutP","13","13","1","1","6531","","","","452","452","452","CP001138.4265","AE017220.4538","CP001144.4624","AM933172.6546___8635","AM933173.6220___27461","CP001120.4469","CP001113.4379","CP000026.1629","CP000886.2101___39540","CP000857.3328","CP001127.4351","AL513382.4281___53279","AE006468.6227"
"pduX","","propanediol utilization","13","13","1","1","6529","","","","866","902","890","CP001138.4269","AE017220.4542","CP001144.4628","AM933172.6552___8641","AM933173.6226___27467","CP001120.4473","CP001113.4383","CP000026.1625","CP000886.2097___39536","CP000857.3324","CP001127.4355","AL513382.4288___53286","AE006468.6232"
"hisG","","ATP phosphoribosyltransferase","13","13","1","1","6504","","","","899","1034","909","CP001138.4298","AE017220.4572","CP001144.4657","AM933172.6595___8704","AM933173.6269___27531","CP001120.4504","CP001113.4412","CP000026.1599","CP000886.1929___39368","CP000857.3295","CP001127.4492","AL513382.4322___53320","AE006468.6271"
"hisI","","histidine biosynthesis bifunctional protein hisIE","13","13","1","1","6497","","","","611","611","611","CP001138.4312","AE017220.4586","CP001144.4671","AM933172.6617___8726","AM933173.6291___27553","CP001120.4518","CP001113.4426","CP000026.1585","CP000886.1915___39354","CP000857.3281","CP001127.4506","AL513382.4349___53347","AE006468.6292"
"wcaB","","putative colanic acid biosynthesis acetyltransferase WcaB","13","13","1","1","6447","","","","440","488","480","CP001138.4384","AE017220.4640","CP001144.4746","AM933172.6725___8874","AM933173.6397___27699","CP001120.4590","CP001113.4503","CP000026.1503","CP000886.1837___39276","CP000857.3227","CP001127.4585","AL513382.4442___53440","AE006468.6395"
"wzb","","low molecular weight protein-tyrosine-phosphatase wzb","13","13","1","1","6444","","","","422","449","446","CP001138.4390","AE017220.4646","CP001144.4752","AM933172.6735___8885","AM933173.6407___27710","CP001120.4596","CP001113.4509","CP000026.1497","CP000886.1831___39270","CP000857.3221","CP001127.4591","AL513382.4447___53445","AE006468.6404"
"yegV","","kinase, PfkB family","13","13","1","1","6411","","","","860","965","956","CP001138.4476","AE017220.4733","CP001144.4808","AM933172.6812___9022","AM933173.6481___27835","CP001120.4660","CP001113.4570","CP000026.1415","CP000886.1763___39202","CP000857.3134","CP001127.4649","AL513382.4529___53527","AE006468.6488"
"yehE","","conserved hypothetical protein","13","13","1","1","6397","","","","281","281","281","CP001138.4497","AE017220.4751","CP001144.4829","AM933172.6843___9053","AM933173.6511___27867","CP001120.4681","CP001113.4591","CP000026.1397","CP000886.1740___39179","CP000857.3117","CP001127.4670","AL513382.4553___53551","AE006468.6514"
"metG","","methionyl tRNA synthetase","13","13","1","1","6394","","","","2033","2114","2045","CP001138.4501","AE017220.4755","CP001144.4833","AM933172.6848___9058","AM933173.6516___27872","CP001120.4685","CP001113.4595","CP000026.1393","CP000886.1736___39175","CP000857.3113","CP001127.4674","AL513382.4560___53558","AE006468.6521"
"yehS","","putative cytoplasmic protein","13","13","1","1","6391","","","","467","524","471","CP001138.4507","AE017220.4761","CP001144.4839","AM933172.6860___9070","AM933173.6526___27883","CP001120.4691","CP001113.4601","CP000026.1387","CP000886.1730___39169","CP000857.3108","CP001127.4680","AL513382.4568___53566","AE006468.6528"
"yehY","","inner membrane ABC transporter permease protein YehY","13","13","1","1","6385","","","","1133","1169","1166","CP001138.4519","AE017220.4775","CP001144.4851","AM933172.6888___9108","AM933173.6553___27920","CP001120.4703","CP001113.4613","CP000026.1373","CP000886.1716___39155","CP000857.3096","CP001127.4692","AL513382.4587___53585","AE006468.6548"
"yohC","","inner membrane protein YohC","13","13","1","1","6380","","","","539","587","583","CP001138.4529","AE017220.4785","CP001144.4861","AM933172.6909___9138","AM933173.6573___27949","CP001120.4713","CP001113.4623","CP000026.1363","CP000886.1704___39143","CP000857.3086","CP001127.4702","AL513382.4602___53600","AE006468.6564"
"yohD","","inner membrane protein YohD","13","13","1","1","6379","","","","569","596","583","CP001138.4531","AE017220.4787","CP001144.4863","AM933172.6912___9145","AM933173.6576___27956","CP001120.4715","CP001113.4625","CP000026.1361","CP000886.1700___39139","CP000857.3084","CP001127.4704","AL513382.4603___53601","AE006468.6568"
"yohI","","tRNA-dihydrouridine synthase C","13","13","1","1","6372","","","","938","995","952","CP001138.4541","AE017220.4797","CP001144.4873","AM933172.6923___9160","AM933173.6586___27972","CP001120.4725","CP001113.4635","CP000026.1353","CP000886.1688___39127","CP000857.3075","CP001127.4714","AL513382.4613___53611","AE006468.6578"
"yohJ","","membrane protein YohJ","13","13","1","1","6366","","","","398","434","400","CP001138.4554","AE017220.4811","CP001144.4886","AM933172.6946___9194","AM933173.6607___28004","CP001120.4738","CP001113.4648","CP000026.1339","CP000886.1674___39113","CP000857.3061","CP001127.4727","AL513382.4634___53632","AE006468.6600"
"sanA","","vancomycin sensitivity","13","13","1","1","6362","","","","719","782","723","CP001138.4560","AE017220.4817","CP001144.4892","AM933172.6959___9214","AM933173.6618___28022","CP001120.4744","CP001113.4654","CP000026.1333","CP000886.1668___39107","CP000857.3055","CP001127.4733","AL513382.4640___53638","AE006468.6609"
"b2145","","putative inner membrane protein","13","13","1","1","6361","","","","239","245","241","CP001138.4562","AE017220.4819","CP001144.4894","AM933172.6963___9218","AM933173.6622___28026","CP001120.4746","CP001113.4656","CP000026.1331","CP000886.1666___39105","CP000857.3053","CP001127.4735","AL513382.4641___53639","AE006468.6612"
"STY2416","","pyridine nucleotide-disulphide oxidoreductase domain protein","13","13","1","1","6360","","","","1241","1283","1244","CP001138.4564","AE017220.4821","CP001144.4896","AM933172.6965___9221","AM933173.6624___28029","CP001120.4748","CP001113.4658","CP000026.1329","CP000886.1664___39103","CP000857.3051","CP001127.4737","AL513382.4643___53641","AE006468.6615"
"STY2429","","putative transcriptional regulator","13","13","1","1","5626","","","","389","434","406","CP001138.4582","AE017220.4840","CP001144.4912","AM933172.7001___9273","AM933173.6658___28081","CP001120.4766","CP001113.4678","CP000026.1311","CP000886.1638___39077","CP000857.3036","CP001127.4755","AL513382.4680___53678","AE006468.6649"
"yeiH","","inner membrane protein YeiH","13","13","1","1","5618","","","","1013","1049","1046","CP001138.4600","AE017220.4856","CP001144.4928","AM933172.7027___9320","AM933173.6683___28127","CP001120.4782","CP001113.4694","CP000026.1297","CP000886.1618___39057","CP000857.3021","CP001127.4769","AL513382.4699___53697","AE006468.6673"
"fruK","","1-phosphofructokinase","13","13","1","1","5615","","","","857","938","925","CP001138.4606","AE017220.4862","CP001144.4934","AM933172.7042___9350","AM933173.6697___28156","CP001120.4788","CP001113.4700","CP000026.1291","CP000886.1610___39049","CP000857.3015","CP001127.4775","AL513382.4708___53706","AE006468.6684"
"spr","","putative lipoprotein","13","13","1","1","4772","","","","443","572","542","CP001138.4625","AE017220.4882","CP001144.4954","AM933172.7077___9401","AM933173.6730___28205","CP001120.4808","CP001113.4722","CP000026.1273","CP000886.1582___39021","CP000857.2996","CP001127.4795","AL513382.4732___53730","AE006468.6707"
"napB","","periplasmic nitrate reductase, diheme cytochrome c subunit","13","13","1","1","4738","","","","449","470","450","CP001138.4681","AE017220.4953","CP001144.5018","AM933172.7191___9572","AM933173.6836___28367","CP001120.4896","CP001113.4785","CP000026.1215","CP000886.1476___38915","CP000857.2932","CP001127.4851","AL513382.4819___53817","AE006468.6829"
"ompC","","outer membrane protein C","13","13","1","1","4726","","","","968","1136","1123","CP001138.4703","AE017220.4974","CP001144.5039","AM933172.7244___9633","AM933173.6888___28427","CP001120.4918","CP001113.4806","CP000026.1193","CP000886.1450___38889","CP000857.2911","CP001127.4871","AL513382.4862___53860","AE006468.6865"
"rcsB","","capsular synthesis regulator component B","13","13","1","1","4724","","","","650","695","653","CP001138.4709","AE017220.4982","CP001144.5045","AM933172.7254___9644","AM933173.6897___28437","CP001120.4924","CP001113.4812","CP000026.1187","CP000886.1442___38881","CP000857.2907","CP001127.4877","AL513382.4869___53867","AE006468.6882"
"rcsC","","sensor kinase protein RcsC","13","13","1","1","4723","","","","2747","2846","2830","CP001138.4711","AE017220.4985","CP001144.5047","AM933172.7258___9648","AM933173.6901___28441","CP001120.4926","CP001113.4814","CP000026.1185","CP000886.1440___38879","CP000857.2905","CP001127.4879","AL513382.4873___53871","AE006468.6884"
"nrdA","","ribonucleoside-diphosphate reductase, alpha subunit","13","13","1","1","4715","","","","2285","2342","2302","CP001138.4723","AE017220.4997","CP001144.5059","AM933172.7285___9687","AM933173.6923___28465","CP001120.4938","CP001113.4826","CP000026.1173","CP000886.1420___38859","CP000857.2894","CP001127.4891","AL513382.4892___53890","AE006468.6915"
"yfaO","","hydrolase, nudix family","13","13","1","1","4694","","","","425","425","425","CP001138.4759","AE017220.5034","CP001144.5094","AM933172.7343___9769","AM933173.6982___28559","CP001120.4974","CP001113.4862","CP000026.1135","CP000886.1378___38817","CP000857.2856","CP001127.4926","AL513382.4942___53940","AE006468.6982"
"ais","","Ais protein","13","13","1","1","4692","","","","605","605","605","CP001138.4761","AE017220.5036","CP001144.5096","AM933172.7346___9772","AM933173.6985___28562","CP001120.4976","CP001113.4864","CP000026.1133","CP000886.1376___38815","CP000857.2854","CP001127.4928","AL513382.4945___53943","AE006468.6984"
"pqaB","","undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyltransferase","13","13","1","1","4687","","","","1646","1646","1646","CP001138.4771","AE017220.5045","CP001144.5106","AM933172.7361___9788","AM933173.7000___28578","CP001120.4986","CP001113.4874","CP000026.1123","CP000886.1364___38803","CP000857.2844","CP001127.4938","AL513382.4955___53953","AE006468.7000"
"STY2533","","membrane protein YfbJ","13","13","1","1","4685","","","","377","377","377","CP001138.4775","AE017220.5049","CP001144.5110","AM933172.7369___9809","AM933173.7006___28597","CP001120.4990","CP001113.4878","CP000026.1119","CP000886.1360___38799","CP000857.2840","CP001127.4942","AL513382.4958___53956","AE006468.7005"
"cheV","","CheW protein","13","13","1","1","4674","","","","1001","1004","1002","CP001138.4797","AE017220.5070","CP001144.5132","AM933172.7394___9837","AM933173.7032___28626","CP001120.5012","CP001113.4900","CP000026.1097","CP000886.1338___38777","CP000857.2818","CP001127.4964","AL513382.4981___53979","AE006468.7038"
"nuoN","","NADH-quinone oxidoreductase, N subunit","13","13","1","1","4672","","","","1277","1457","1415","CP001138.4806","AE017220.5074","CP001144.5140","AM933172.7401___9844","AM933173.7038___28632","CP001120.5014","CP001113.4902","CP000026.1095","CP000886.1328___38767","CP000857.2811","CP001127.4966","AL513382.4984___53982","AE006468.7043"
